Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C307       AP1-00001           27.5899mm          55mm     27.5899mm          55mm     27.5899mm       54.45mm  T         90.00 CAP-NONPOL     
C308       AP1-00001           28.8649mm          55mm     28.8649mm          55mm     28.8649mm       54.45mm  T         90.00 CAP-NONPOL     
C310       AP1-00001             19.45mm      43.825mm       19.45mm      43.825mm       19.45mm      44.375mm  T        270.00 CAP-NONPOL     
L300       AP3-00005             16.65mm       43.85mm       16.65mm       43.85mm       16.65mm       43.15mm  T         90.00 BLM18PG471SN1  
XC300      AP7-00090            16.725mm       49.75mm      16.725mm       49.75mm      16.725mm       51.05mm  T        270.00 CRYSTAL        
C102       AP1-00001              20.4mm      87.035mm        20.4mm      87.035mm       20.95mm      87.035mm  B        180.00 CAP-NONPOL     
R105       AP2-00000             33.05mm     88.1375mm       33.05mm     88.1375mm       33.05mm     87.5375mm  B         90.00 R2             
C500       AP1-00003              10.6mm       81.28mm        10.6mm       81.28mm        10.6mm      80.455mm  T         90.00 CAP-NONPOL     
C501       AP1-00001            14.575mm      83.705mm      14.575mm      83.705mm      15.125mm      83.705mm  T        180.00 CAP-NONPOL     
C502       AP1-00001            16.525mm       81.28mm      16.525mm       81.28mm      16.525mm       81.83mm  T        270.00 CAP-NONPOL     
C503       AP1-00001              12.5mm      84.405mm        12.5mm      84.405mm        12.5mm      83.855mm  T         90.00 CAP-NONPOL     
C505       AP1-00001            14.775mm       69.18mm      14.775mm       69.18mm      14.775mm       68.63mm  T         90.00 CAP-NONPOL     
C506       AP1-00001            12.325mm        67.6mm      12.325mm        67.6mm      12.875mm        67.6mm  T        180.00 CAP-NONPOL     
D500       AP4-00018              8.95mm       65.43mm        8.95mm       65.43mm         9.9mm       64.48mm  T        180.00 DUAL_SCHOTTKY_132
J102       AP8-00745            39.475mm      87.475mm      39.475mm      87.475mm      42.015mm      87.475mm  T        180.00 Same as A08-1614 but with 1mm hole for optimal reflow soldering (no misalignment of the component)
J203       AP8-00257             55.01mm       78.06mm       55.01mm       78.06mm       57.55mm      78.695mm  T        180.00 HEADER 2x5     
J500       AP8-00733                 4mm       81.33mm           4mm       81.33mm           4mm       80.06mm  T         90.00 HEADER 1x2     
J501       AP8-00733               8.6mm     71.3125mm         8.6mm     71.3125mm         8.6mm     70.0425mm  T         90.00 HEADER 1x2     
J502       AP8-00733               8.7mm      59.805mm         8.7mm      59.805mm         8.7mm      61.075mm  T        270.00 HEADER 1x2     
J503       AP8-00745             2.222mm       66.97mm       2.222mm       66.97mm       2.222mm       64.43mm  T         90.00 Same as A08-1614 but with 1mm hole for optimal reflow soldering (no misalignment of the component)
JS101      AP8-00525           -164.08mm     -102.48mm     38.2051mm     87.4751mm     -164.08mm     -102.48mm  T        360.00 To be used by request from ESCATEC
JS500      AP8-00525           -164.08mm     -102.48mm         8.7mm      60.325mm     -164.08mm     -102.48mm  T        270.00 To be used by request from ESCATEC
JS501      AP8-00525           -164.08mm     -102.48mm         8.6mm      70.775mm     -164.08mm     -102.48mm  T         90.00 To be used by request from ESCATEC
R500       AP2-00008             7.625mm      78.655mm       7.625mm      78.655mm       7.625mm      80.105mm  T        270.00 0.5W           
R501       AP2-00008             7.625mm       83.88mm       7.625mm       83.88mm       7.625mm       85.33mm  T        270.00 0.5W           
R502       AP2-00000            12.325mm      69.555mm      12.325mm      69.555mm      12.325mm      70.155mm  T        270.00 R2             
R503       AP2-00000             10.95mm      69.555mm       10.95mm      69.555mm       10.95mm      70.155mm  T        270.00 R2             
R504       AP2-00000              20.5mm      66.775mm        20.5mm      66.775mm        20.5mm      67.375mm  T        270.00 R2             
R505       AP2-00000            20.525mm      69.575mm      20.525mm      69.575mm      20.525mm      70.175mm  T        270.00 R2             
