Field=#~Integer~#~50|Field=Fitted~String~Fitted~100|Field=Designator~String~Designator~100|Field=Quantity~Integer~Quantity~100|Field=Value~String~Value~100|Field=Manufacturer~String~Manufacturer~100|Field=MPN~String~MPN~100|Field=Description~String~Description~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~SAMC21N_Xplained_Pro.PrjPCB|ReportField=ProjectFullPath~E:\SAMC21N_Xplained_Pro\SAMC21N_XPRO_SVN\06_Hardware\Rev4_Web_release\SAMC21N_Xplained_Pro.PrjPCB|ReportField=Title~Bill of Materials Fitted For Variant [Default_assembly] of Project [SAMC21N_Xplained_Pro.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~220|ReportField=ReportTime~3:15:37 PM|ReportField=ReportDate~4/10/2017|ReportField=ReportDateTime~4/10/2017 3:15:37 PM|ReportField=OutputName~Bill of Materials Fitted|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~Default_assembly|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~M.S.K|ReportField=CompanyName~|ReportField=CurrentDate~4/10/2017|ReportField=CurrentTime~3:11:56 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\SAMC21N_Xplained_Pro\SAMC21N_XPRO_SVN\06_Hardware\Rev4_Web_release\SAMC21N_Xplained_Pro_TopLevel.SchDoc|ReportField=DocumentName~SAMC21N_Xplained_Pro_TopLevel.SchDoc|ReportField=DocumentNumber~A09-2682|ReportField=DrawnBy~Microchip India|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2/8/2017|ReportField=Organization~Microchip India|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.01:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=-4:MediaType=1:DitherType=10:PaperKind=Letter:PrintScaleMode=1|ReportField=PCBNumber~A08-2581|ReportField=PCBRevision~2|ReportField=ProjectName~SAMC21N_Xplained_Pro.PrjPCB|ReportField=ProjectTitle~ATSAMC21N-XPRO|ReportField=Revision~4|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~9|ReportField=Time~|ReportField=Title~Top Level Schematics|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=IsUserConfigurable~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~SAMC21N_Xplained_Pro.PrjPCB|ReportField=DataSourceFullPath~E:\SAMC21N_Xplained_Pro\SAMC21N_XPRO_SVN\06_Hardware\Rev4_Web_release\SAMC21N_Xplained_Pro.PrjPCB
40|Fitted|PCBADOC1|1|A09-2682 PCBA Files|||SAM C21N Xplained Pro PCBA documentation
41|Fitted|Q100, Q101, Q103|3|DMP2160UFDB|Diodes Incorporated|DMP2160UFDB-7|MOSFET 20V 3.8A DUAL P-CHAN, Rds 70 mOhms, Vgs 12V, Vds -20
42|Fitted|Q102|1|2N7002,215|NXP|2N7002,215|N-Channel MOSFET. 60V, 0.300A continuous, 1.2A Peak. RDS(ON) = 3.8Ohm@VGS=4.5V, VGS(th)<2.5V
43|Fitted|Q400|1|2N7002DW|Fairchild|2N7002DW|Dual N-Channel MOSFET, 60V, 115mA cont,RDS(ON) < 7.5 Ohm @50mA@5V, SOT-363
44|Fitted|Q600, Q601|2|FDC6327C|Fairchild|FDC6327C|Dual N/P-ch MOSFET, 20V, 2.7A/-1.9A cont, 8A/-8A pulse, RDS(ON)<0.08/0.17Ohm@VGS=4.5V, VGS(th)<1.5/-1.5V, SSOT6
45|Fitted|R100, R106, R107, R506|4|100k|||Thick film resistor, SMD 0402, 1/16W, 1%
46|Fitted|R101|1|2R|||RES SMD 2 OHM 1% 1/16W 0402
47|Fitted|R103, R410, R413|3|1M|||Thick film resistor, SMD 0402, 1/16W, 1%
48|Fitted|R104, R301, R401, R402, R409, R411, R412, R503, R702|9|1k|||Thick film resistor, SMD 0402, 1/16W, 1%
49|Fitted|R105, R502, R701|3|10k|vishay|CRCW040210K0FKED|Thick film resistor, SMD 0402, 1/16W, 1%
50|Fitted|R109, R110, R111, R112|4|47k|||Thick film resistor, SMD 0402, 1/16W, 1%
51|Fitted|R300, R600, R603, R604, R605, R606, R608, R613, R615, R616, R617, R622, R623, R624|14|100k|||Thick film resistor, SMD 0402, 1/16W, 1%
52|Fitted|R304, R421, R422, R609|4|39R|||Thick film resistor, SMD 0402, 1/16W, 1%
53|Fitted|R305, R306, R315, R316, R504|5|4.7k|||Thick film resistor, SMD 0402, 1/16W, 1%
54|Fitted|R313, R314, R610, R611, R612, R800|6|0R|||Thick film resistor, SMD 0402, 1/16W, 1%, Thick film resistor, SMD 0402, 1/16W, 1%, Thick film resistor, SMD 0402, 1/16W, 1%, Thick film resistor, SMD 0402, 1/16W, 1%, Thick film resistor, SMD 0402, 1/16W, 1%, RES 0.0 OHM 1/16W 0402 SMD
55|Fitted|R423|1|6.81k|||Thick film resistor, SMD 0402, 1/16W, 1%
56|Fitted|R500, R501, R507, R508|4|62R|||Thick film resistor, SMD 1210, 0.5W, 1%
57|Fitted|R505|1|2.7k|||Thick film resistor, SMD 0402, 1/16W, 1%
58|Fitted|R601, R602|2|4.7k|||Thick film resistor, SMD 0402, 1/16W, 1%
59|Fitted|R607, R614, R618, R619, R620, R621|6|330R|||Thick film resistor, SMD 0402, 1/16W, 1%
60|Fitted|R700|1|39R|||Thick film resistor, SMD 0402, 1/16W, 1%
61|Fitted|SW301, SW500, SW700|3|SKRAAKE010|ALPS|SKRAAKE010|6.2x6.2 mm SMD tact switch, same as A08-0091 but less force is needed
62|Fitted|TEST1|1|SAM C21N Xplained Pro test|||Fixture eggTest for SAM C21N Xplained Pro
63|Fitted|TESTDOC1|1|SAM C21N Xplained Pro Test Instructions|||SAM C21N Xplained Pro Test Instructions
64|Fitted|U100|1|MIC5504-3.3YM5|Microchip|MIC5504-3.3YM5-TR|LDO 3.3V 0.3A SOT-23-5
65|Fitted|U103|1|MIC5209-3.3YM|Microchip|MIC5209-3.3YM|Fixed 3.3V, 500mA Low-Noise LDO Regulator, SOIC-8
66|Fitted|U300|1|ATSAM C21N18A-ANT|ATMEL|ATSAM C21N18A-ANT|Atmel 32-bit ARM Cortex-M0+ processor 100pin 256KB Flash 32KB SRAM 48MHz freq
67|Fitted|U400|1|AT32UC3A4256J-C1UR|ATMEL|AT32UC3A4256J-C1UR|AVR 32-bit RISC MCU
68|Fitted|U500, U502|2|ATA6561-GBQW|ATMEL|ATA6561-GBQW|5Mbit/s CAN Trasceiver,VCC = 5V, VIO = 2.8-5V, 3x3 mm VDFN8
69|Fitted|U501|1|ATA663211-FAQW|ATMEL|ATA663211-FAQW|LIN Transceiver
70|Fitted|U600|1|FXMA2102L8X|Fairchild|FXMA2102L8X|Dual supply, 2-bit, voltage translator, buffer, repeater, isolator for I2C applications
71|Fitted|U601, U602, U603, U604, U605, U606, U607, U608, U609, U610, U611, U612|12|SN74LVC1T45DCKR|Texas Instruments|SN74LVC1T45DCKR|Single-Bit Dual-Supply Bus Transceiver with Configurable Voltage Translation and 3-State Outputs
